#separator:tab,
#html:true,
merkwürdig,"Etrange, connotation neutre/etonnant"
seltsam,"etrange, connotation anormalite/malaise"
"der Mensch, en, en","L'homme, l'etre humain"
die Leute,Les gens
"die Person, en","La personne, le personnage"
persönlich,personnel
"die Persönlichkeit, en",la personnalité
"die Frau, en","L'épouse, la femme"
weiblich,féminin
"der Herr, n, en","le monsieur, le seigneur, le maitre"
männlich,"masculin, viril"
"das Alter, -","l'âge, la vieillesse"
alt,"vieux, agé"
erwachsen,adulte
"das Kind, er",l'enfant
"die Jugend, /",la jeunesse
jung,jeune
geboren,né (verbe)
leben,vivre
"das Leben, -",la vie
lebendig,vivant
"werden - wird, wurde, ist geworden",devenir
"sterben - stirbt, starb, ist gestorben (an +D)",mourir (de)
"der Tod, /",la Mort
tot,mort
töten,tuer
"heißen - heißt, hieß, hat geheißen",s'appeler
"der Name, ns, n",le nom
"der Vorname, ns, n&nbsp;",le prenom
"die Liste, n",la liste
"nommer, appeler","nennen - nennt, nannte, hat genannt"
jemand (niemand),quelqu'un (ne ... personne)
selbst,(soi) même
die Geschwister,les frères et soeurs
die Eltern,les parents
"die Tochter, die Töchter",la fille
"die Erziehung, en",l'éducation
"erziehen - erzieht, erzog, hat erzogen","éduquer, élever"
lebenhaft,"vif, animé"
"der Charakter, die Charaktere",le charactère (de quelqu'un)
"die Geduld, /",la patiente
geduldig,patient
"die Ruhe, /","le calme, le repos, la tranquilité"
ruhig,"calme, tranquille"
beruhigen,"tranquiliser, rassurer, calmer"
beunruhigen,inquiéter
still&nbsp;,"silencieux, tranquille"
bescheiden,modeste
schüchtern,timide
fleißig,"appliqué, travailleur, zélé"
faul,paresseux
"die Faulheit, /",la paresse
neugierig,"curieux, avide de savoir"
"die Ehre, n",l'honneur
ehrlich,honnête
"der Ernst, /",le sérieux
ernst,"sérieux, grave"
selbstbewusst,sur de soi
stolz (auf + A),fier (de)
"der Stolz, /",la fierté
frech,insolent
"die Frechheit, /&nbsp;",l'insolence
energisch,energique
"der Mut, /",le courage
mutig,courageux
tapfer,"courageux, brave"
spontan,spontané
freundlich,"aimable, amical"
fröhlich,"joyeux, gai"
nett,"gentil, aimable, charmand"
lieb,"cher, gentil"
brav,"gentil, sage"
"der Humor, /&nbsp;",l'humour
toll,"sensationnel, genial"
treu&nbsp;,fidèle
heiter,"serein, gai"
naiv,naif
schlau,"rusé, fin"
fähig (zu+D),capable (de)
"das Vertrauen, / (zu + D)",la confiance (en)
"sich verlassen - verlässt sich, verließ sich, hat sich verlassen (auf + A)","compter (sur), se fier (a)"
"das Misstrauen, /&nbsp;",la méfiance
misstrauisch,méfiant
egoistisch,égoiste
streng,"sévère, strict"
hart,dur
"die Härte, /&nbsp;",la dureté
"das Wesen, -","l'etre, l'essence, la nature"
hochmütig,"hautain, orgueilleux"
feig,lâche
grausam,cruel
"der Neid, /",l'envie
"sich verhalten - verhält sich, verhielt sich, hat sich verhalten","se comporter, se conduire"
reagieren (auf + A),réagir (à)
"das Gewissen, /",la conscience (morale)
heimlich,secret
behandeln,traiter&nbsp;
grob,grossier
lächerlich,ridicule
grotesk,grotesque
"die Scham, /","la honte, la pudeur"
beherrschen,"maîtriser, dominer"
wagen,"oser, risquer"
"übertreiben - übertreibt, übertrieb, hat übertrieben",exagérer
"wollen - will, wollte, hat gewollt",vouloir
"die Wille, ns, /",la volonté
wünschen,"souhaiter, désirer"
